director,title
Vince Marcello,The Kissing Booth
Rajiv Chilaka,Bheemayan
"Sidheswar Shukla, Asit Mohapatra",Chhota Bheem Aur Kaala Yodha
"Asit Mohapatra, Shyamal Chaulia",Chhota Bheem Ka Romani Adventure
"Shyamal Chaulia, Asit Mohapatra",Chhota Bheem Ka Troll Se Takkar
Patricia Font,In Family I Trust
Amy Poehler,Wine Country
Sachin Kundalkar,Aiyyaa
Puri Jagannadh,Bbuddah Hoga Terra Baap
Krish,Gabbar Is Back
Shoojit Sircar,Madras Café
Ribhu Dasgupta,Michael
Geoff Anderson,The Adventure Club
Federico Veiroj,The Apostate
Robert Vince,Russell Madness
Mark Zwonitzer,American Experience: The Island Murder
Bo Welch,Dr. Seuss' The Cat in the Hat
"Sedat Kirtan, Kubilay Sarikaya",Familiye
Stacia Crawford,Hidden in Plain Sight
Michael Epstein,John & Yoko: Above Us Only Sky
Sudipto Roy,Kia and Cosmos
Frédéric Tonolli,Kill Hitler! The Luck of the Devil
Rachel Lears,Knock Down The House
Emmanuel Amara,Le serment des Hitler
Syamsul Yusof,Munafik 2
Nicholas Winter,Robin Hood: The Rebellion
Bong Joon Ho,Snowpiercer
Mangesh Kanthale,Sur Sapata
Kevin Munroe,Teenage Mutant Ninja Turtles
"Frank Oz, Jim Henson",The Dark Crystal
Gary Young,Two Graves
Nicanor Loreti,"27, el club de los malditos"
Simon Napier-Bell,27: Gone Too Soon
A. L. Vijay,Abhinetri
Devashish Makhija,Ajji
Amal Neerad,CIA: Comrade in America
"Fluvio Iannuci, Roly Santos",Coffee for All
Julius R. Nasso,Darc
Lucas Figueroa,Despido Procedente
Francis Lee,God's Own Country
Shanker Raman,Gurgaon
Rakshith Thirthahalli,Hombanna
C. Fitz,Jewel's Catch One
Alex Timbers,John Mulaney: Kid Gorgeous at Radio City
"Damien Piscarel, Florent Bodin",Le K Benzema
Saandeep Patel,Love Ni Bhavai
Justin G. Dyck,My Perfect Romance
Arun Vaidyanathan,Nibunan
Pradip Kurbah,Onaatah
NA,Pocoyo & Cars
Alfonso Rodríguez,Pocoyo & The Space Circus
NA,Pocoyo Carnival
NA,Pocoyo Halloween: Space Halloween
NA,Pocoyo Halloween: Spooky Movies
"Guillermo Garcia, David Cantolla",Pocoyo Special Sports
Makarand Mane,Ringan
Pierfrancesco Diliberto,Roberto Saviano: Writing Under Police Protection
Priyadarshan,Sometimes
Sean Menard,The Carter Effect
Dito Montiel,The Clapper
Vicente Villanueva,Toc Toc
Don Michael Paul,Tremors 6: A Cold Day in Hell
Anu Menon,Waiting
Adrian Murray,Withdrawn
Andy Goddard,A Kind of Murder
K. Rajagopal,A Yellow Bird
Atanu Ghosh,Abby Sen
Supavitra Babul,Bittoo Boss
"Zoya Akhtar, Dibakar Banerjee, Karan Johar, Anurag Kashyap",Bombay Talkies
Anthony D'Souza,Boss
Soumendra Padhi,Budhia Singh: Born to Run
Mahesh Bhatt,Chaahat
David Dhawan,Chashme Buddoor
"Ken Burns, Artemis Joukowsky",Defying the Nazis: The Sharps' War
Fuwad Khan,Dharam Sankat Mein
Mike Birbiglia,Don't Think Twice
Nishikant Kamat,Drishyam
Praveen Nischol,English Babu Desi Mem
Dylan Mohan Gray,Fire in the Blood
Kabir Sadanand,Gollu Aur Pappu
"Shinji Aramaki, Mamoru Oshii, Hideki Futamura, Toshiyuki Kanno, Tomoki Kyoda, Koichi Mashimo, Yasushi Muraki, Daisuke Nishio, Frank O'Connor, Koji Sawai, Joseph Chou, Hiroshi Yamazaki",HALO Legends
"Justin Bare, Matthew Miele",Harry Benson: Shoot First
Lucien Jean-Baptiste,He Even Has Your Eyes
Jalil Lespert,In the Shadow of Iris
Sudhir Mishra,Inkaar
Edward Cotterill,JFK: The Making of a President
Sean Cisterna,Kiss & Cry
Sudhanshu Saria,Loev
Sarah Moshman,Losing Sight of Shore
Omung Kumar,Mary Kom
"Bob Hercules, Rita Coburn Whack",Maya Angelou: And Still I Rise
Munish Bhardwaj,Moh Maya Money
Dilip Mehta,Mostly Sunny
Satish Rajwade,Mumbai Delhi Mumbai
Umesh Shukla,Oh My God
Devika Bhagat,One by Two
Luv Ranjan,Pyaar Ka Punchnama
Luv Ranjan,Pyaar Ka Punchnama 2
Vikas Bahl,Queen
Dharmesh Darshan,Raja Hindustani
"Kireet Khurana, Padmakumar Narasimhamurthy",Saeed Mirza: The Leftist Sufi
Bejoy Nambiar,Shaitan
Neeraj Pandey,Special 26
Aanand Rai,Tanu Weds Manu
"Isaki Lacuesta, Isa Campo",The Next Skin
Gurmmeet Singh,What the Fish
Sangeeth Sivan,Yamla Pagla Deewana 2
Nathan Landeg,Mark Gatiss: A Study in Sherlock
Fernando González Molina,Palm Trees in the Snow
"Yann Arthus-Bertrand, Michael Pitiot",Terra
Gonzalo López-Gallego,Apollo 18
Mina Shum,Meditation Park
Martin Zandvliet,The Outsider
Stephen Belber,Match
Tony Stone,Peter and the Farm
Cosmo Feilding-Mellen,The Sunshine Makers
Peter Foott,The Young Offenders
Raam Reddy,Thithi
Majid Al Ansari,Zinzana
Woody Allen,Blue Jasmine
"Ibrahim Bin Mohamed, Hasan Aljaberi",Hajwala 2: Mysterious Mission
Clark Johnson,Juanita
Emmanuel Mouret,Lady J
Robert Rodriguez,Spy Kids 2: The Island of Lost Dreams
Terry Gilliam,The Imaginarium of Doctor Parnassus
Robin Swicord,The Jane Austen Book Club
Conor Allyn,Walk. Ride. Rodeo.
Uraaz Bahl,Ladies First
Frank Coraci,The Waterboy
John Patrick Shanley,Doubt
Haifaa Al-Mansour,Nappily Ever After
Wenn V. Deramas,Sisterakas
Olivia M. Lamasan,Starting Over Again
Antoinette Jadaone,That Thing Called Tadhana
Nuel Naval,The Love Affair
Nicolás López,Aftershock
"Paul Solet, Rick Benattar",Bullet Head
Amy Schumer,Amy Schumer: The Leather Special
Ian Kirby,Halo: The Fall of Reach
Sean McNamara,Aliens Ate My Homework
Joe Camp,Benji
Joe Camp,Benji: Off the Leash
Joe Camp,For the Love of Benji
Michael Simon,Gad Elmaleh: American Dream
Justin Chon,Gook
Aziz Ansari,Aziz Ansari Live at Madison Square Garden
David Sampliner,My Own Man
Adam Shankman,Bedtime Stories
Chito S. Roño,Caregiver
Marc Forster,Christopher Robin
Keoni Waxman,The Hard Way
Benny Fine,F the Prom
Mae Czarina Cruz,Everyday I Love You
Onir,I Am
Paul Soriano,Kid Kulafu
Wenn V. Deramas,My Only Mother
Ruel S. Bayani,No Other Woman
"Peter Mortimer, Josh Lowell",The Dawn Wall
Ben Wallis,Expedition China
Greg Coolidge,Employee of the Month
Owen Egerton,Mercy Black
"Sam ""Blitz"" Bazawule",The Burial of Kojo
Joe Miale,Revolt
Richard Sears,Bottom of the World
NA,Bridget Christie: Stand Up for Her
Nirpal Bhogal,FirstBorn
Brett Whitcomb,GLOW: The Story of the Gorgeous Ladies of Wrestling
Lucy van Beek,Hiroshima: The Real History
"Frank Capra, Joris Ivens",Know Your Enemy - Japan
John Huston,Let There Be Light
George Stevens,Nazi Concentration Camps
Frank Capra,Prelude to War
John Huston,San Pietro
John Ford,The Battle of Midway
Charlie McDowell,The Discovery
William Wyler,The Memphis Belle: A Story of a
,
Stuart Heisler,The Negro Soldier
"William Wyler, John Sturges",Thunderbolt
"Frank Capra, John Huston, Hugh Stewart, Roy Boulting, Anthony Veiller",Tunisian Victory
John Ford,Undercover: How to Operate Behind Enemy Lines
"Frank Capra, Anatole Litvak",Why We Fight: The Battle of Russia
John Huston,WWII: Report from the Aleutians
"Micah Bickham, Galley Molina",Covered: Alive in Asia
Olivia Newman,First Match
Jared Stern,Happy Anniversary
Yang Lei,Legend of the Naga Pearls
"Raúl Campos, Jan Suter",Sofía Niño de Rivera: Selección Natural
Lennart Ruff,The Titan
Mike Clattenburg,Trailer Park Boys: Countdown to Liquor Day
Mike Clattenburg,Trailer Park Boys: The Movie
Adam MacDonald,Backcountry
Saurav Palodhi,Colkatay Columbus
Shawn Crahan,Officer Downe
Michael Whitton,Exit Strategy
Steve Carr,Middle School: The Worst Years of My Life
Swapnaneel Jayakar,15-Aug
Kyzza Terrazas,Bayonet
Philippe Falardeau,The Bleeder
John Lee Hancock,The Highwaymen
Theo Love,The Legend of Cocaine Island
Eli Craig,Tucker and Dale vs. Evil
Bart Freundlich,Wolves
Shannon Hartman,Jo Koy: Live from Seattle
Awi Suryadi,Danur: I Can See Ghosts
Hanung Bramantyo,Verses of Love
Óskar Thór Axelsson,Ég man þig
Vishal Mahadkar,Blood Money
Ryan Polito,Nate Bargatze: The Tennessee Kid
Mikhail Red,Birdshot
Raj Babu,Sei
Rodolphe Guenoden,Kung Fu Panda: Secrets of the Scroll
Javier Ruiz Caldera,Superlopez
"Dan Fraga, William Lau",Monster High: Haunted
Marina Willer,Red Trees
Diego Pignataro,Felipe Neto: My Life Makes No Sense
Meghan O'Hara,The C Word
Tommy O'Haver,The Most Hated Woman in America
Douglas McGrath,I Don't Know How She Does It
"Chanon Yingyong, Phuwanit Pholdee",Oversize Cops
Kyle Newacheck,"Game Over, Man!"
Mijke de Jong,Layla M.
Jorge Granier,Pablo Escobar: Angel or Demon?
Daryl Hannah,Paradox
Michael Larnell,Roxanne Roxanne
Advait Chandan,Secret Superstar
Abel Ferrara,Welcome to New York
Oriol Paulo,Mirage
Stuart Sender,ReMastered: The Miami Showband Massacre
Jeff Tremaine,The Dirt
Paul Dugdale,The Rolling Stones: Olé Olé Olé! A Trip Across Latin America
NA,Antoine Griezmann: The Making of a Legend
Wenn V. Deramas,The Amazing Praybeyt Benjamin
Joyce Bernal,The Super Parental Guardians
Jason Paul Laxamana,The Third Party
Maryo J. De los Reyes,The Unmarried Wife
Chito S. Roño,The Wedding Curse
Theodore Boborol,Vince and Kath and James
Gavin Fitzgerald,Conor McGregor: Notorious
Juan Zapata,Another Forever
Gianfranco Rosi,Fire at Sea
Gianfranco Rosi,Sacro GRA
Oliver Daly,A.X.L.
Luis Ara,Alexis Viera: A Story of Surviving
"Karan Shivajirao Chavan, Vikram Tanajirao Patil",Imago
Melinda Janko,100 Years: One Woman's Fight for Justice
Ram Gopal Varma,Contract
Tanuj Bhramar,Dear Dad
Isao Yukisada,River's Edge
A.R. Murugadoss,Sarkar
A.R. Murugadoss,Sarkar
John Lee Hancock,Saving Mr. Banks
Robin Swicord,Wakefield
Faraz Haider,War Chhod Na Yaar
Fritz Ofner,Weapon of Choice
Mozez Singh,Zubaan
"Raúl Campos, Jan Suter",Malena Pichot: Estupidez compleja
"Raúl Campos, Jan Suter",Natalia Valdebenito: El especial
Robin Aubert,Ravenous
Brendan Toller,Danny Says
Kristian Levring,The Salvation
"Mark Helenowski, Kevin Pang",For Grace
Amy Schumer,Amy Schumer Growing
Jonathan Ignatius Green,Social Animals
Sonny Marler,Tinker'
Taron Lexton,In Search of Fellini
Robert Vince,Monkey Up
Eva Vives,All About Nina
Lonny Price,Best Worst Thing That Ever Could Have Happened
Sang-ho Yeon,Train to Busan
Jason Krawczyk,He Never Died
Sam Wrench,Jimmy Carr: Funny Business
"Sophie Robinson, Lotje Sodderland",My Beautiful Broken Brain
John Lee,Pee-wee's Big Holiday
Richard Loncraine,5 Flights Up
Sydney Freeland,Deidra & Laney Rob a Train
"Ben Bowie, Geoff Luck",Naledi: A Baby Elephant's Tale
Jung-woo Park,Pandora
Asghar Farhadi,A Separation
Brandon Camp,Benji
Alison Klayman,Take Your Pills
Yoo Byung-jae,Yoo Byung Jae: Too Much Information
Victor Levin,5 to 7
Henry Selick,Coraline
James Ivory,Howards End
Gonzalo López-Gallego,The Hollow Point
Lone Scherfig,The Riot Club
Mark Dindal,Chicken Little
Pia Sukanya,Bombairiya
Yann Gozlan,Burn Out
Niyi Akinmolayan,Chief Daddy
Francesco Imperato,Edoardo Ferrario: Temi Caldi
Hoyt Yeatman,G-Force
Lukas Dhont,Girl
Manny Rodriguez,Jeff Dunham: Arguing with Myself
"Michael Simon, Matthew McNeil",Jeff Dunham: Controlled Chaos
Manny Rodriguez,Jeff Dunham: Minding the Monsters
Michael Simon,Jeff Dunham's Very Special Christmas Special
Stephen Chow,Kung Fu Hustle
Frank W Chen,Late Life: The Chien-Ming Wang Story
Adrian Teh,Paskal
Florian Henckel von Donnersmarck,The Lives of Others
Steven R. Monroe,The Student
Buz Wallick,Twinsanity
Indrasis Acharya,Bilu Rakkhosh
Aatmaram Dharne,Chal Dhar Pakad
"Sumitra Bhave, Sunil Sukthankar",Ek Cup Chya
NA,Haapus
Sunao Katabuchi,In This Corner of the World
Kedar Shinde,Irada Pakka
Johan Brisinger,Jag älskar dig: En skilsmässokomedi
Attila Till,Kills on Wheels
Mahesh Manjrekar,Lalbaug Parel: Zali Mumbai Sonyachi
Tim Bartley,Little Lunch: The Halloween Horror Story
Robyn Butler,Little Lunch: The Nightmare Before Graduation
John Upchurch,Mango Dreams
Deepika Narayan Bhardwaj,Martyrs of Marriage
"Israel Adrián Caetano, Bruno Stagnaro","Pizza, birra, faso"
Girish Joshi,Ranbhool
Aditya Sarpotdar,Satrangi Re
"Arjun Gourisaria, Moinak Biswas",Sthaniya Sambaad
Maria Sadowska,The Art of Loving
Santosh Sivan,Asoka
Erik Canuel,"Bon Cop, Bad Cop"
"Pascal Blanchard, Sonia Dauger, David Dietz","Les Bleus - Une autre histoire de France, 1996-2016"
Heidi Saman,Namour
"Peter Middleton, James Spinney",Notes on Blindness
Shashilal K. Nair,One 2 Ka 4
Jayaraj Rajasekharan Nair,Ottaal
Partho Sen-Gupta,Sunrise
Eric Drath,Marvel & ESPN Films Present: 1 of 1: Genesis
Sam Upton,12 ROUND GUN
Maryo J. De los Reyes,A Love Story
Olivia M. Lamasan,Barcelona: A Love Untold
Joyce Bernal,Everything About Her
Theodore Boborol,Finally Found Someone
Cathy Garcia-Molina,Seven Sundays
Yang Woo-seok,Steel Rain
Pan Nalin,Angry Indian Goddesses
Shannon Hartman,Jim Norton: Mouthful of Shame
J.C. Chandor,Triple Frontier
John L. Spencer,Ricky Gervais: Humanity
Victor Cook,Stretch Armstrong: The Breakout
Brian Klein,Jimmy Carr: The Best of Ultimate Gold Greatest Hits
Devin Chanda,Kygo: Live at the Hollywood Bowl
Tekin Girgin,Troy: The Odyssey
David Chirchirillo,Bad Match
Marianna Palka,Bitch
Dennis Bartok,Nails
Kenneth Müller,"Septiembre, un llanto en silencio"
Marcel Barrena,100 Meters
Burak Aksak,Bana Masal Anlatma
Hakan Algül,Berlin Kaplani
Gerard McMurray,Burning Sands
Muharrem Gülmez,Çarsi Pazar
Ozan Açıktan,Çok Filim Hareketler Bunlar
Meltem Bozoflu,Dedemin Fisi
Hakan Algül,Deliha
"Selçuk Aydemir, Birkan Pusa",Düğün Dernek
Selçuk Aydemir,Dügün Dernek 2: Sünnet
Hakan Algül,Eyyvah Eyyvah
Hakan Algül,Eyyvah Eyyvah 2
Hakan Algül,Eyyvah Eyyvah 3
Ömer Faruk Sorak,G.O.R.A
Şenol Sönmez,Hayat Öpücügü
"Ali Taner Baltacı, Cem Yılmaz",Hokkabaz
Sermiyan Midyat,Hükümet Kadin
Sermiyan Midyat,Hükümet Kadin 2
Aytaç Ağırlar,Incir Receli 2
Burak Aksak,Kara Bela
Kıvanç Baruönü,Kocan Kadar Konus
Kıvanç Baruönü,Kocan Kadar Konus 2: Dirilis
Yusuf Pirhasan,Kurtulus Son Durak
Mahsun Kırmızıgül,Mucize
Hakan Algül,Niyazi Gül Dörtnala
Kıvanç Baruönü,Patron Mutlu Son Istiyor
"Clementine Malpas, Leslie Knott",Refugee
Ketche,Romantik Komedi
Erol Özlevi,Romantik Komedi 2: Bekarlığa Veda
Hakan Yonat,Sadece Sen
Ozan Açıktan,Sen Kimsin?
Olivier Loustau,The Boss's Daughter
Yılmaz Erdoğan,The Butterfly's Dream
"Yılmaz Erdoğan, Ömer Faruk Sorak",Vizontele
Yılmaz Erdoğan,Vizontele Tuuba
Nottapon Boonprakob,"2,215"
Perry Lang,An Interview with God
Nawapol Thamrongrattanarit,BNK48: Girls Don't Cry
Xavier Gens,Budapest
Gary Wheeler,Christmas in the Smokies
Ang Lee,"Crouching Tiger, Hidden Dragon"
Tom Edmunds,Dead in a Week (Or Your Money Back)
Brant Sersen,Haunting on Fraternity Row
"Sam Liu, Frank Paur",Hulk Vs.
Phil Morrison,Junebug
Paul Katis,Kilo Two Bravo
Matthew Vaughn,Layer Cake
Jonathan A. Rosenbaum,Pants on Fire
Franck Phelizon,Paranormal Investigation
Peter Howitt,Radio Rebel
Matthew Atkinson,Room for Rent
Rajiv Menon,Sarvam Thaala Mayam (Tamil Version)
Chiwetel Ejiofor,The Boy Who Harnessed the Wind
Michael Buster,The Christmas Project
"Philip Einstein Lipski, Jørgen Lerdam, Amalie Næsby Fick",The Incredible Story of the Giant Pear
"Rodrigo Salomón, Pietro Scappini",The Last Runway
Mark Waters,The Spiderwick Chronicles
James Toback,Tyson
David Wain,Wet Hot American Summer
Debra Granik,Winter's Bone
Miguel Ángel Vivas,Your Son
Joey Curtis,2307: Winter's Dream
NA,Adel Karam: Live from Beirut
Alison Klayman,Ai Weiwei: Never Sorry
"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla",Aitraaz
Shikha Makan,Bachelor Girls
Haissam Hussain,Balu Mahi
Mitch Gould,Battle Drone
Kaizad Gustad,Boom
Ram Gopal Varma,Company
Clay Porter,Deathgrip
Mani Ratnam,Dil Se
Eeshwar Nivas,Dum
"Hugues Nancy, Fabien Beziat",Elles étaient en guerre 1939-1945
Indra Kumar,Grand Masti
Mani Ratnam,Guru
Satish Kaushik,Hamara Dil Aapke Paas Hai
Tim Van Someren,Hans Zimmer: Live in Prague
David Dhawan,Haseena Maan Jaayegi
Shawn Arranha,Hide & Seek
Jonathan Baker,Inconceivable
K. Subhash,Insan
Nagesh Kukunoor,Iqbal
V. K. Prakash,Ishqedarriyaan
Manish Tiwary,Issaq
David Dhawan,Judwaa 2
Kranti Redkar,Kaakan
Dhilip Kumar,Kalki
NA,Kanika
Subhash Ghai,Khalnayak
"Surya S.J., Sunil Kumar Agrawal",Khushi
Samir Karnik,Kyun! Ho Gaya Na
"Daniel Lindsay, T.J. Martin",LA 92
Syed Ahmad Afzal,Laal Rang
RZA,Love Beats Rhymes
Steve Sacks,Monster High 13 Wishes
"Mike Fetterly, Steve Sacks",Monster High: Ghouls Rule
Anees Bazmee,No Entry
Subhash Ghai,Pardes
Mahesh Manjrekar,Pitaah
Rajkumar Santoshi,Pukar
Manish Gupta,Rahasya
Jeeva,Run
K. Gopinathan,Samarppanam
Lars Büchel,Schubert In Love
Krishna Vamshi,Shakti: The Power
Dibakar Banerjee,Shanghai
Gurudev Bhalla,Shararat
Samar Khan,Shaurya: It Takes Courage to Make Right... Right
Amit Barot,Shubh Aarambh
Adarsh Eshwarappa,Shuddhi
Bejoy Nambiar,Solo
Carlo Padial,Something Huge
Indra Kumar,Super Nani
Ashutosh Gowariker,Swades
"Mike Smith, John Paul Tremblay, Robb Wells",Swearnet Live
Subhash Ghai,Taal
Julien Seri,Tarif de nuit
Leena Yadav,Teen Patti
Bryan Buckley,The Pirates of Somalia
Keerthi,The Plan
Abhishek Sharma,The Shaukeens
Gajendra Ahire,The Silence
Gajendra Ahire,The Silence
Buddhadev Dasgupta,Tope: The Bait
"Mike Smith, John Paul Tremblay, Robb Wells",Trailer Park Boys Live at the North Pole
"Mike Smith, John Paul Tremblay, Robb Wells",Trailer Park Boys Live In F**kin' Dublin
Mike Clattenburg,Trailer Park Boys: Say Goodnight to the Bad Guys
Mike Clattenburg,Trailer Park Boys: Xmas Special
Mukul Anand,Trimurti
Preston A. Whitmore II,True to the Game
Milind Dhaimade,Tu Hai Mera Sunday
Ashish R. Mohan,Welcome 2 Karachi
N. Chandra,Y.M.I.: Yeh Mera India
Subhash Ghai,Yaadein
Mani Ratnam,Yuva
"Volker Arzt, Angelika Sigl",Beak & Brain: Genius Birds From Down Under
NA,Beary Tales
Arne Birkenstock,Chandani: The Daughter of the Elephant Whisperer
Jonathan Taylor,Koko: The Gorilla Who Talks
Alessandro Pepe,My Honor Was Loyalty
NA,Nature: Raising the Dinosaur Giant
Selvamani Selvaraj,Nila
Vijay Jayapal,Revelations
Matt Wechsler,Sustainable
Hernán Belón,Tiger
Anurag Kashyap,Ugly
Harvey Lilley,Vikings Unearthed
Lev L. Spiro,Blue Mountain State: The Rise of Thadland
Michael Polish,Hot Bot
Maria Ripoll,It's Now or Never
Dani de la Torre,Retribution
Oren Uziel,Shimmer Lake
Adam Marino,Beneath the Leaves
NA,"Berlin, I Love You"
Kurt Wimmer,Equilibrium
Craig Johnson,Alex Strangelove
Jeffrey Walker,Ali's Wedding
Ulises Valencia,Franco Escamilla: Por la anécdota
Gabriel Grieco,Hypersomnia
Federico Veiroj,Belmonte
Isabel Coixet,Elisa & Marcela
Grant Sputore,I Am Mother
Laxman Utekar,Luka Chuppi
Juan Antin,Pachamama
Hanno Olderdissen,Rock My Heart
Amar Kaushik,Stree
Reginald Hudlin,The Black Godfather
"Grant Korgan, Brian Niles",The Push
Ajay Bahl,B.A. Pass
Kees Van Oostrum,A Perfect Man
Eva Trobisch,Alles ist gut
Tamer Bassiouni,Best Neighbors
Travis Zariwny,Cabin Fever
Corbin Bernsen,Christian Mingle
Asghar Farhadi,Everybody Knows
Shadi Ali,Farce
Sameh Abdulaziz,Freezer's Campaign
Mahmoud Karim,From Japan to Egypt
Walerian Borowczyk,Immoral Tales
Hani Hamdi,"It's Okay, Buddy"
Wael Ihsan,Ms. Mammy
Amr Arafa,Sameer Abu Alneel
Wael Ihsan,Step Outside
Ahmed Al-Badry,The Republic of Imbaba
"Mohammed El-Tahawy, Mohamed Mostafa",The Thief and the Imbecile
Naoko Yamada,A Silent Voice
Philip Marlatt,Dolphin Kick
"Scott Mosier, Yarrow Cheney",Dr. Seuss' The Grinch
David Gelb,Jiro Dreams of Sushi
David Guy Levy,Would You Rather
Taika Waititi,Thor: Ragnarok
Saul Dibb,Suite Française
Manika Sharma,The Wishing Tree
Mathieu Auvray,Cosmos Laundromat: First Cycle
Marcus Raboy,Miranda Sings Live…Your Welcome
"Limbert Fabian, Brandon Oldenburg",Silent
Grant Heslov,The Men Who Stare at Goats
Timothy Reckart,The Lamb
Sittisiri Mongkolsiri,Inhuman Kiss
Kelly Reichardt,Night Moves
Robbie Grewal,Romeo Akbar Walter
Jay Karas,Bill Burr: You People Are All the Same
Ted Geoghegan,Mohawk
Yayo Herrero,The Maus
Juan Manuel Cotelo,Footprints: The Path of Your Life
Damani Baker,The House on Coco Road
"Lyric R. Cabral, David Felix Sutcliffe",(T)ERROR
Cosima Spender,Palio
Alfonso Serrano Maturino,Acapulco La vida va
"Timo Tjahjanto, Kimo Stamboel",Headshot
Johnnie To,Three
Seong-hun Kim,Tunnel
"Bo Burnham, Christopher Storer",Bo Burnham: Make Happy
Christopher Nolen,Pierre Jackson
Thiagarajan Kumararaja,Super Deluxe
Matt Palmer,Calibre
"Raúl Campos, Jan Suter",Jani Dueñas: Grandes fracasos de ayer y hoy
Rodrigo Triana,Penalty Kick
Elaine McMillion Sheldon,Recovery Boys
Federico D'Alessandro,TAU
Anthony Pierce,Ralphie May: Imperfectly Yours
Mike Mills,20th Century Women
Kate Horne,El testigo
Roberto Girault Facha,La Leyenda del Diamante
Christopher Ray,Staged Killer
Emanuel Hoss-Desmarais,Birthmarked
Bong Joon Ho,Okja
Paul Thomas Anderson,ANIMA
"Alex Díaz, Marcos Bucay",Daniel Sosa: Maleducado
Fredric Lean,Skydancers
Bill D'Elia,Chris D'Elia: Man on Fire
NA,Hikaru Utada Laughter in the Dark Tour 2018
Sujoy Ghosh,Kahaani
"Peter Ramsey, Rodney Rothman, Bob Persichetti",Spider-Man: Into the Spider-Verse
"Doron Paz, Yoav Paz",The Golem
Svati Chakravarty Bhatkal,Unbroken
Rian Johnson,Star Wars: Episode VIII: The Last Jedi
Shannon Hartman,W. Kamau Bell: Private School Negro
Justin Kelly,I Am Michael
Pablo Larraín,Neruda
Liz Garbus,"What Happened, Miss Simone?"
Kevin Bray,Mike Epps: Only One Mike
Michael James Regan,Recall
Aditya Kripalani,Tottaa Pataaka Item Maal
Seiji Mizushima,Expelled from Paradise
Sanjay Gupta,Kaabil
Myriam Aziza,"To Each, Her Own"
Vivieno Caldinelli,Bruno and Boots: Go Jump in the Pool
Vivieno Caldinelli,Bruno and Boots: This Can't Be Happening at Macdonald Hall
"Raúl Campos, Jan Suter",Sofía Niño de Rivera: Exposed
Rob Burnett,The Fundamentals of Caring
Jay Lyons,The Long Goodbye: The Kara Tippetts Story
Drew Casson,Hungerford
"Chris Buck, Kevin Lima",Tarzan
NA,The Darkest Dawn
NA,Yoko and His Friends
Charlie Siskel,American Anarchist
Brian Knappenberger,Nobody Speak: Trials of the Free Press
Brian Smith,Tarzan 2
Brent Bonacorso,You Get Me
Jennifer Phang,Advantageous
Mohamed Hamdy,Salem: His Sister's Father
"Jesse V. Johnson, Jesse Johnson",Triple Threat
Gerard Barrett,Brain on Fire
NA,Derren Brown: Miracle
Rene Liu,Us and Them
"Geoffrey Orthwein, Andrew Sullivan",Bokeh
"Jovanka Vuckovic, Annie Clark, Roxanne Benjamin, Karyn Kusama",XX
"Miguel Cohan, Miguel Cohan",Blood Will Tell
Hideaki Anno,EVANGELION: DEATH (TRUE)²
Tarek Abdel Moaty,Good Luck
"Hideaki Anno, Kazuya Tsurumaki",The End of Evangelion
Nitesh Tiwari,Dangal
"Ismail Farouk, Hazem Fouda",An Upper Egyptian
Khaled Marei,Bewildered Bolbol
"Abhijit Kokate, Srivinay Salian",Rakkhosh
Husam El-Gohari,Reaction
Magdy Al-Hawwary,The Chord
Ahmad El-Badri,The Player
Antonin Baudry,The Wolf's Call
Mohamed Hamdy,Three-Quarters Decent
Sherif Mandour,Unruly Friends
Atul Malhotra,Amar Akbar & Tony
"Roy Burdine, Johnny Castuciano",Puss in Book: Trapped in an Epic Tale
Scott Moran,Rory Scovel Tries Stand-Up for the First Time
George Clooney,"Good Night, and Good Luck"
Datta Mohan Bhandare,Krutant
Kieran Darcy-Smith,The Duel
Tom Hooper,The King's Speech
Salvador Calvo,1898: Our Last Men in the Philippines
Jun-seong Kim,Lucid Dream
Chris Robinson,Beats
"Janet Tobias, Claus Wehlisch",Memory Games
David L. Cunningham,Running for Grace
Petra Costa,The Edge of Democracy
Ed Lilly,VS.
"Madeleine Parry, Jon Olb",Hannah Gadsby: Nanette
Isaac Ezban,The Incident
Jay Karas,Adam Devine: Best Time of Our Lives
Anirban Majumder,Antariksha Ke Rakhwale
Scott Martin,Big Kill
Jeremy Kenyon Lockyer Corbell,Bob Lazar: Area 51 & Flying Saucers
Rajiv Chilaka,Dragonkala Ka Rahasya
Anirban Majumder,Samudri Lootere
Sumit Das,Super Bheem Bana Vajraveer
George Mendeluk,The Wrong Babysitter
Wilson Yip,Ip Man 3
Kyle Patrick Alvarez,The Stanford Prison Experiment
Jon Watts,Cop Car
Jakob Lass,Right Here Right Now
Jay Bulger,Counterpunch
Kevin Derek,The Real Miyagi
"Kip Andersen, Keegan Kuhn",What the Health
Shazia Javed,3 Seconds Divorce
"John Haptas, Kristine Samuelson",Life Overtakes Me
Sanjay Jadhav,Luckee
Ahmed El Gendy,Monopoly (The Bank Of Luck)
Vinod Kapri,Pihu
Israel Adrián Caetano,Chronicle of an Escape
"Anders Falck, Stinus Morell Vithner",LEGO House - Home of the Brick
"Zoya Akhtar, Karan Johar, Anurag Kashyap, Dibakar Banerjee",Lust Stories
Oded Raz,Maktub
"Mariana Tschudi, Héctor Gálvez",Pacificum: Return to the Ocean
Claire Scanlon,Set It Up
Ramón Salazar,Sunday's Illness
